column,enabled,common_name,dtype,display,is_filter_factor,add_before_log_transform,factor_class,true_text,false_text,default_value,tooltip_text
gene_ncbi,TRUE,NCBI Entrez gene ID,int,,FALSE,,,,,,
gene_ensembl,TRUE,Ensembl gene ID,str,,FALSE,,,,,,
taxon_ncbi,TRUE,NCBI taxon ID,int,,FALSE,,,,,,
symbol_ncbi,TRUE,NCBI gene symbol,str,,FALSE,,,,,,
locustag,TRUE,Locus tag,str,,FALSE,,,,,,
synonyms,TRUE,Gene symbol synonyms,str,,FALSE,,,,,,
dbxrefs,TRUE,Other database IDs,str,,FALSE,,,,,,
chromosome,TRUE,Chromosome,str,,FALSE,,,,,,
map_location,TRUE,Map Location,str,,FALSE,,,,,,
description,TRUE,Gene name,str,,FALSE,,,,,,
type_of_gene,TRUE,Type of gene,str,,FALSE,,,,,,
symbol_from_nomenclature_authority,TRUE,HGNC symbol,str,,FALSE,,,,,,
full_name_from_nomenclature_authority,TRUE,HGNC name,str,,FALSE,,,,,,
nomenclature_status,TRUE,HGNC nomenclature status,str,,FALSE,,,,,,
other_designations,TRUE,Gene name synonyms,str,,FALSE,,,,,,
modification_date,TRUE,Modification date,str,,FALSE,,,,,,
feature_type,TRUE,Feature type,str,,FALSE,,,,,,
p_de,TRUE,Probability of differential expression,float,linear,TRUE,,default,,,,Filter by the probability of being differentially expressed in any given RNA-seq experiment in the Gene Expression Atlas (EBI-GXA). Shows probabilities of differential expression
n_pubs,TRUE,Number of articles about gene,int,log,TRUE,1,default,,,,"Filter by the number of primary research articles that feature each gene in the title/abstract, compiled from gene2pubmed and Pubtator. Shows number of articles"
defined_hugo,TRUE,Has defined HGNC nomenclature,bool,,TRUE,,extended,Has defined HGNC nomenclature,Does not have defined HGNC nomenclature,TRUE,Filter by whether each gene has a defined HUGO Gene Nomenclature Committee symbol (True/False)
n_synonyms,TRUE,Number of synonyms,int,linear,TRUE,,extended,,,,"Filter by number of synonyms associated with each gene, compiled by NCBI Gene. Shows number of synonyms"
n_mouse_pheno,TRUE,Number of mouse phenotypes,int,log,FALSE,1,,,,,
mouse_pheno,TRUE,Has associated mouse phenotype,bool,,TRUE,,extended,Has associated mouse phenotype,Does not have associated mouse phenotype,TRUE,Filter by whether each gene is associated with a phenotype in mouse knockout experiments performed by the International Mouse Phenotyping Consortium.
n_gwas,TRUE,Number of GWAS hits,int,log,TRUE,1,default,,,,Filter by number of GWAS experiments in NHGRI-EBI GWAS catalog that found each gene as a hit. Shows number of experiments
detectable_portion,TRUE,Proportion of tissues with detectable RNA expression,float,linear,TRUE,,extended,,,,Filter by the proportion of tissues with ?1 nTPM expression of each gene in Human Protein Atlas consensus RNA-seq data. Shows fraction of tissues
tissue_median,TRUE,Median RNA expression across tissues (nTPM),float,log,TRUE,0.01,default,,,,Filter by the median RNA expression of each gene across tissues in Human Protein Atlas consensus RNA-seq data. Shows RNA expression in normalized transcripts per million
hela_expression,TRUE,RNA expression in HeLa,float,log,TRUE,0.01,extended,,,,Filter by RNA expression of each gene in HeLa cells from Human Protein Altas RNA-seq data. Shows RNA expression in normalized transcripts per million
mendelian_inheritance,TRUE,Mendelian inheritance,bool,,TRUE,,extended,Mendelian inheritance,No Mendelian inheritance,TRUE,Filter by whether each gene has an autosomal dominant or autosomal recessive disease-gene association in the Human Phenotype Ontology (True/False)
mouse,TRUE,Homology in mouse,bool,,TRUE,,default,Homology in mouse,No homology in mouse,TRUE,Filter by whether each gene has a homolog in taxid:10090 in Homologene (True/False)
rat,TRUE,Homology in rat,bool,,TRUE,,extended,Homology in rat,No homology in rat,TRUE,Filter by whether each gene has a homolog in taxid:10116 in Homologene (True/False)
c_elegans,TRUE,Homology in c. elegans,bool,,TRUE,,extended,Homology in C. elegans,No homology in C. elegans,TRUE,Filter by whether each gene has a homolog in taxid:6239 in Homologene (True/False)
d_melanogaster,TRUE,Homology in d. melanogaster,bool,,TRUE,,extended,Homology in D. melanogaster,No homology in D. melanogaster,TRUE,Filter by whether each gene has a homolog in taxid:7227 in Homologene (True/False)
yeast,TRUE,Homology in yeast,bool,,TRUE,,extended,Homology in S. cerevisiae,No homology in S. cerevisiae,TRUE,Filter by whether each gene has a homolog in taxid:559292 in Homologene (True/False)
zebrafish,TRUE,Homology in zebrafish,bool,,TRUE,,extended,Homology in zebrafish,No homology in zebrafish,TRUE,Filter by whether each gene has a homolog in taxid:7955 in Homologene (True/False)
primate_specific,TRUE,Specific to primates,bool,,TRUE,,extended,Specific to primates,Not specific to primates,TRUE,"Filter by whether the homologs of each gene only occur in primates, according to Homologene (True/False)"
